state,state_abbr,gender_group,age_group,population
United States (States and DC),US,Male,18+,122360385
United States (States and DC),US,Male,All,159886919
United States (States and DC),US,Both,<18,73429392
United States (States and DC),US,Both,18+,251268403
United States (States and DC),US,Both,All,324697795
Utah,UT,Female,<18,449047
Utah,UT,Female,18+,1088933
Utah,UT,Female,All,1537980
Utah,UT,Male,<18,474536
Utah,UT,Male,18+,1084332
Utah,UT,Male,All,1558868
Utah,UT,Both,<18,923583
Utah,UT,Both,18+,2173265
Utah,UT,Both,All,3096848
Vermont,VT,Female,<18,56555
Vermont,VT,Female,18+,259661
Vermont,VT,Female,All,316216
Vermont,VT,Male,<18,60099
Vermont,VT,Male,18+,247998
Vermont,VT,Male,All,308097
Vermont,VT,Both,<18,116654
Vermont,VT,Both,18+,507659
Vermont,VT,Both,All,624313
Virginia,VA,Female,<18,912501
Virginia,VA,Female,18+,3382789
Virginia,VA,Female,All,4295290
Virginia,VA,Male,<18,953198
Virginia,VA,Male,18+,3205975
Virginia,VA,Male,All,4159173
Virginia,VA,Both,<18,1865699
Virginia,VA,Both,18+,6588764
Virginia,VA,Both,All,8454463
Washington,WA,Female,<18,802522
Washington,WA,Female,18+,2898284
Washington,WA,Female,All,3700806
Washington,WA,Male,<18,841024
Washington,WA,Male,18+,2862277
Washington,WA,Male,All,3703301
Washington,WA,Both,<18,1643546
Washington,WA,Both,18+,5760561
Washington,WA,Both,All,7404107
"Washington, DC",DC,Female,<18,61308
"Washington, DC",DC,Female,18+,302731
"Washington, DC",DC,Female,All,364039
"Washington, DC",DC,Male,<18,62622
"Washington, DC",DC,Male,18+,266022
"Washington, DC",DC,Male,All,328644
"Washington, DC",DC,Both,<18,123930
"Washington, DC",DC,Both,18+,568753
"Washington, DC",DC,Both,All,692683
West Virginia,WV,Female,<18,180502
West Virginia,WV,Female,18+,738225
West Virginia,WV,Female,All,918727
West Virginia,WV,Male,<18,188936
West Virginia,WV,Male,18+,709642
West Virginia,WV,Male,All,898578
West Virginia,WV,Both,<18,369438
West Virginia,WV,Both,18+,1447867
West Virginia,WV,Both,All,1817305
Wisconsin,WI,Female,<18,625352
Wisconsin,WI,Female,18+,2285470
Wisconsin,WI,Female,All,2910822
Wisconsin,WI,Male,<18,655551
Wisconsin,WI,Male,18+,2224343
Wisconsin,WI,Male,All,2879894
Wisconsin,WI,Both,<18,1280903
Wisconsin,WI,Both,18+,4509813
Wisconsin,WI,Both,All,5790716
Wyoming,WY,Female,<18,66068
Wyoming,WY,Female,18+,218754
Wyoming,WY,Female,All,284822
Wyoming,WY,Male,<18,70303
Wyoming,WY,Male,18+,225899
Wyoming,WY,Male,All,296202
Wyoming,WY,Both,<18,136371
Wyoming,WY,Both,18+,444653
Wyoming,WY,Both,All,581024
